motivation,hear_about,prior_participation,activities_experience,class_interest,which_class
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['Open House'],['None'],3,['Data Analytics']
['To keep current in computing skills'],['Family member or friend'],['None'],"['School Computing Class', 'Ap Computing', 'Dual Enrollment', 'Family Friend Computing']",1,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],3,['Web Development']
"['It’s a required class for the degree I’m seeking', 'Professional Development', 'Curiosity']",['Current student'],['None'],"['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",5,['Hardware Installation & Repair']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['School Computing Class'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Billboard', 'Family member or friend']",['None'],"['School Computing Class', 'Family Friend', 'Family Friend Computing']",3,"['CyberSecurity', 'Data Analytics']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['School Computing Class'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Family member or friend', 'Employer', 'High School']",['Virtual Session'],"['School Computing Class', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,"['CyberSecurity', 'App Development', 'Game Design']"
['It’s a required class for the degree I’m seeking'],['High School'],['Regional Fair'],"['School Computing Class', 'School Computing Club', 'Afterschool Computing', 'Summer Computing Camp', 'Family Friend', 'Family Friend Computing', 'Employer']",3,['Computer Programming']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Family member or friend', 'Current student']",['None'],['None'],3,['Game Design']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Family member or friend', 'Current student', 'High School']",['Open House'],"['School Computing Class', 'Family Friend', 'Teacher Counselor']",2,"['Web Development', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Community Event', 'Family member or friend', 'High School']","['Open House', 'Instant Decision', 'Virtual Session', 'Regional Fair']",['None'],3,['Web Development']
"['It’s a required class for the degree I’m seeking', 'Professional Development']","['Web site', 'Billboard', 'Social Media', 'Community Event', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],['None'],2,"['App Development', 'Data Analytics', 'Computer Programming']"
"['It’s a required class for the degree I’m seeking', 'Career Advancement', 'Personal Enrichment']","['Web site', 'Social Media', 'High School']","['Open House', 'Oncampus Session', 'Virtual Session']","['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",5,['Data Analytics']
"['To keep current in computing skills', 'Career Advancement', 'Professional Development', 'Financial', 'Personal Enrichment', 'Curiosity']","['Family member or friend', 'Current student', 'High School']",['None'],['Family Friend'],5,"['CyberSecurity', 'Data Analytics', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Game Design', 'Hardware Installation & Repair']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Curiosity']",['High School'],"['Open House', 'Oncampus Session', 'Regional Fair']","['School Computing Club', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Teacher Counselor', 'Employer']",5,"['Machine Learning/Artificial Intelligence', 'Computer Programming', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'High School']",['None'],['None'],2,"['Web Development', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Current student', 'Alumni', 'High School']",['Instant Decision'],['School Computing Class'],3,['N/A']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Personal Enrichment']",['Family member or friend'],['None'],['None'],4,"['CyberSecurity', 'App Development', 'Data Analytics', 'Machine Learning/Artificial Intelligence']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],['None'],3,"['Data Analytics', 'Computer Programming', 'Hardware Installation & Repair']"
"['It’s a required class for the degree I’m seeking', 'Curiosity']","['Current student', 'High School']",['None'],"['Teacher Counselor', 'Employer']",3,"['Web Development', 'CyberSecurity', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],['High School'],"['Open House', 'Women Dare']",['Employer'],3,"['App Development', 'Computer Programming']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'Social Media', 'Family member or friend', 'Current student', 'Alumni', 'High School']",['None'],"['School Computing Class', 'Computing Competitions', 'Afterschool Computing']",3,['Game Design']
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills']","['Web site', 'Family member or friend', 'High School']",['None'],"['Teacher Counselor', 'Employer']",5,"['CyberSecurity', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],"['Web site', 'High School']","['Instant Decision', 'Virtual Session']","['School Computing Class', 'School Computing Club', 'Computing Competitions', 'Afterschool Computing', 'Summer Computing Camp', 'Ap Computing', 'Dual Enrollment', 'Family Friend', 'Family Friend Computing', 'Teacher Counselor', 'Employer']",3,['Machine Learning/Artificial Intelligence']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student']",['Open House'],['Family Friend'],1,['Web Development']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],3,"['CyberSecurity', 'Data Analytics', 'Machine Learning/Artificial Intelligence', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Alumni', 'High School']",['Virtual Session'],['None'],2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']",['High School'],['None'],"['School Computing Class', 'School Computing Club', 'Teacher Counselor']",2,['N/A']
"['It’s a required class for the degree I’m seeking', 'Career Advancement']","['Web site', 'High School']",['None'],['Family Friend Computing'],2,['N/A']
['It’s a required class for the degree I’m seeking'],"['Family member or friend', 'Current student']",['Regional Fair'],['None'],1,['N/A']
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],3,"['CyberSecurity', 'Game Design']"
['It’s a required class for the degree I’m seeking'],"['Social Media', 'High School']",['None'],['School Computing Class'],1,['N/A']
"['To keep current in computing skills', 'Personal Enrichment', 'Curiosity']","['Family member or friend', 'Alumni', 'High School', 'local']",['None'],"['School Computing Class', 'Family Friend']",4,"['Web Development', 'CyberSecurity', 'App Development', 'Data Analytics', 'Machine Learning/Artificial Intelligence', 'Computer Programming', 'Hardware Installation & Repair']"
['It’s a required class for the degree I’m seeking'],['High School'],['None'],['None'],4,"['Web Development', 'Computer Programming']"
"['It’s a required class for the degree I’m seeking', 'To keep current in computing skills', 'Career Advancement']",['Therapist '],['None'],['None'],4,"['Web Development', 'App Development']"
